raw_city,canonical_city
1251 Adela Hills Dr,
29401,Downtown Charleston
29403,CHARLESTON_NEEDS_ZIP
29407,West Ashley
29412,James Island
29414,West Ashley
29449,Hollywood
29455mrschriski@icloud.com,
29488,Walterboro
29492,Daniel Island
4195 Maybank Highway,
50 Eastlake Rd,
Adams Run,Adams Run
Avondale,West Ashley
Awendaw,Awendaw
Beaufort,Beaufort
Bluffton,Bluffton
Blufton,Bluffton
"Blvd Isle of Palms,",Isle of Palms
Blythwood SC,Blythewood
Bono (monks corner),Moncks Corner
CHARLESTON,CHARLESTON_NEEDS_ZIP
Cassique,
Chareleston,CHARLESTON_NEEDS_ZIP
Charlesto,CHARLESTON_NEEDS_ZIP
Charleston,CHARLESTON_NEEDS_ZIP
Charleston - HWY 61,CHARLESTON_NEEDS_ZIP
Charleston Downtown,Downtown Charleston
Charleston SC,CHARLESTON_NEEDS_ZIP
Charleston SC 29407,West Ashley
"Charleston,",CHARLESTON_NEEDS_ZIP
"Charleston, 29403",CHARLESTON_NEEDS_ZIP
"Charleston, 29412",James Island
"Charleston, Downtown",Downtown Charleston
"Charleston, James Island",James Island
"Charleston, SC",CHARLESTON_NEEDS_ZIP
"Charleston, SC 29401",Downtown Charleston
"Charleston, SC 29403",CHARLESTON_NEEDS_ZIP
"Charleston, SC 29405",North Charleston
"Charleston, SC 29407",West Ashley
"Charleston, SC 29412",James Island
"Charleston, SC 29414",West Ashley
"Charleston, Sc 29412",James Island
Charlestone,CHARLESTON_NEEDS_ZIP
Charlestown,CHARLESTON_NEEDS_ZIP
Cottageville,Cottageville
"Ct Seabrook Island, SC 29455",Seabrook Island
DT,Downtown Charleston
Daniel I sland,Daniel Island
Daniel Island,Daniel Island
"Daniel Island,",Daniel Island
"Daniel Island, SC",Daniel Island
Daniel island,Daniel Island
Daniels Island,Daniel Island
Dewees Island,Dewees Island
Downtown,Downtown Charleston
Downtown Charleston,Downtown Charleston
Downtown charleston,Downtown Charleston
Dowwtown,Downtown Charleston
Dunes West,Mount Pleasant
Edisto,Edisto Island
Edisto  Island,Edisto Island
Edisto Beach,Edisto Island
"Edisto Beach, SC",Edisto Island
"Edisto Beach, SC 29438 USA",Edisto Island
Edisto ISland,Edisto Island
Edisto Island,Edisto Island
"Edisto Island,",Edisto Island
"Edisto Island, SC 29438",Edisto Island
Edisto island,Edisto Island
"Edisto island,",Edisto Island
Eutawville,Eutawville
